274.000,67.000,297.000,67.000,297.000,134.000,274.000,134.000
275.060,133.940,298.090,133.940,298.090,66.810,275.060,66.810
275.430,134.210,298.490,134.210,298.490,66.960,275.430,66.960
275.790,134.480,298.880,134.480,298.880,67.100,275.790,67.100
276.150,134.750,299.280,134.750,299.280,67.250,276.150,67.250
276.150,133.990,299.300,133.990,299.300,66.360,276.150,66.360
276.140,133.220,299.330,133.220,299.330,65.470,276.140,65.470
276.140,132.460,299.360,132.460,299.360,64.580,276.140,64.580
276.130,132.770,299.380,132.770,299.380,64.770,276.130,64.770
276.130,133.090,299.410,133.090,299.410,64.960,276.130,64.960
276.120,133.400,299.430,133.400,299.430,65.150,276.120,65.150
276.110,134.340,299.460,134.340,299.460,65.960,276.110,65.960
276.610,133.730,299.980,133.730,299.980,65.230,276.610,65.230
277.100,133.110,300.510,133.110,300.510,64.490,277.100,64.490
277.050,133.720,300.480,133.720,300.480,64.970,277.050,64.970
276.990,134.330,300.460,134.330,300.460,65.460,276.990,65.460
276.930,134.940,300.430,134.940,300.430,65.940,276.930,65.940
276.540,134.420,300.070,134.420,300.070,65.300,276.540,65.300
276.150,133.900,299.710,133.900,299.710,64.650,276.150,64.650
275.760,133.390,299.350,133.390,299.350,64.010,275.760,64.010
275.270,133.780,298.900,133.780,298.900,64.280,275.270,64.280
274.790,134.170,298.450,134.170,298.450,64.550,274.790,64.550
275.900,134.980,299.590,134.980,299.590,65.230,275.900,65.230
276.410,134.180,300.130,134.180,300.130,64.300,276.410,64.300
276.920,133.380,300.670,133.380,300.670,63.380,276.920,63.380
277.140,133.210,300.920,133.210,300.920,63.080,277.140,63.080
277.360,133.040,301.170,133.040,301.170,62.790,277.360,62.790
277.580,132.860,301.420,132.860,301.420,62.490,277.580,62.490
277.260,133.190,301.140,133.190,301.140,62.690,277.260,62.690
276.950,133.520,300.850,133.520,300.850,62.890,276.950,62.890
276.630,133.010,300.570,133.010,300.570,62.260,276.630,62.260
276.320,132.510,300.280,132.510,300.280,61.630,276.320,61.630
276.000,61.000,300.000,61.000,300.000,132.000,276.000,132.000
275.800,132.590,299.880,132.590,299.880,61.550,275.800,61.550
275.610,133.180,299.750,133.180,299.750,62.110,275.610,62.110
