150.00,152.00,150.00,56.00,232.00,56.00,232.00,152.00
148.00,151.00,148.00,56.00,229.00,56.00,229.00,151.00
146.00,150.00,146.00,56.00,226.00,56.00,226.00,150.00
144.00,150.00,144.00,56.00,223.00,56.00,223.00,150.00
143.00,149.00,143.00,56.00,221.00,56.00,221.00,149.00
141.00,149.00,141.00,56.00,218.00,56.00,218.00,149.00
139.00,148.00,139.00,56.00,215.00,56.00,215.00,148.00
138.00,148.00,138.00,56.00,214.00,56.00,214.00,148.00
136.00,147.00,136.00,55.00,212.00,55.00,212.00,147.00
134.00,148.00,134.00,55.00,211.00,55.00,211.00,148.00
132.00,148.00,132.00,54.00,209.00,54.00,209.00,148.00
123.00,149.00,123.00,55.00,201.00,55.00,201.00,149.00
122.00,152.00,122.00,57.00,200.00,57.00,200.00,152.00
113.00,151.00,113.00,55.00,192.00,55.00,192.00,151.00
106.00,151.00,106.00,55.00,186.00,55.00,186.00,151.00
107.00,151.00,107.00,54.00,187.00,54.00,187.00,151.00
105.00,150.00,105.00,52.00,186.00,52.00,186.00,150.00
111.00,156.00,111.00,58.00,192.00,58.00,192.00,156.00
115.00,154.00,115.00,55.00,197.00,55.00,197.00,154.00
113.00,160.00,113.00,60.00,196.00,60.00,196.00,160.00
114.00,160.00,114.00,61.00,197.00,61.00,197.00,160.00
115.00,159.00,115.00,60.00,198.00,60.00,198.00,159.00
117.00,162.00,117.00,63.00,200.00,63.00,200.00,162.00
119.00,159.00,119.00,60.00,202.00,60.00,202.00,159.00
120.00,159.00,120.00,60.00,203.00,60.00,203.00,159.00
119.00,157.00,119.00,58.00,202.00,58.00,202.00,157.00
123.00,158.00,123.00,59.00,206.00,59.00,206.00,158.00
124.00,152.00,124.00,53.00,207.00,53.00,207.00,152.00
128.00,153.00,128.00,54.00,211.00,54.00,211.00,153.00
130.00,150.00,130.00,51.00,213.00,51.00,213.00,150.00
131.00,149.00,131.00,50.00,214.00,50.00,214.00,149.00
134.00,145.00,134.00,46.00,217.00,46.00,217.00,145.00
136.00,145.00,136.00,46.00,219.00,46.00,219.00,145.00
138.00,145.00,138.00,46.00,221.00,46.00,221.00,145.00
140.00,144.00,140.00,45.00,223.00,45.00,223.00,144.00
142.00,144.00,142.00,45.00,225.00,45.00,225.00,144.00
144.00,144.00,144.00,45.00,227.00,45.00,227.00,144.00
141.00,144.00,141.00,45.00,224.00,45.00,224.00,144.00
138.00,144.00,138.00,45.00,222.00,45.00,222.00,144.00
135.00,144.00,135.00,45.00,220.00,45.00,220.00,144.00
132.00,144.00,132.00,45.00,217.00,45.00,217.00,144.00
129.00,144.00,129.00,45.00,215.00,45.00,215.00,144.00
126.00,144.00,126.00,45.00,213.00,45.00,213.00,144.00
119.00,150.00,119.00,51.00,207.00,51.00,207.00,150.00
116.00,151.00,116.00,52.00,204.00,52.00,204.00,151.00
